t,x,y,z,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,ax,ay,az,alphax,alphay,alphaz
0,0.4,-0.2,0.3,0.0640713,-0.0911575,0.153439,0.981856,0.1,-0.2,0.3,0,0,0,-0,0,0,0,0,0,-0,0,0
0.00475,0.4,-0.2,0.300001,0.0640703,-0.0911572,0.153441,0.981856,0.0999976,-0.199999,0.300003,0.000114077,0.000243023,0.000368139,-0.00155749,5.58708e-05,0.00174979,0.0477146,0.101903,0.15409,-0.650552,0.0233368,0.730874
0.0095,0.400001,-0.199997,0.300005,0.0640628,-0.091155,0.153451,0.981855,0.0999811,-0.199994,0.300026,0.000450288,0.000964076,0.0014552,-0.00613092,0.000219931,0.0068879,0.0935337,0.201279,0.302716,-1.26996,0.0455563,1.42676
0.01425,0.400005,-0.19999,0.300016,0.0640428,-0.091149,0.153478,0.981853,0.0999371,-0.199978,0.300086,0.000999683,0.00215121,0.00323539,-0.0135735,0.000486915,0.0152494,0.13748,0.298151,0.445941,-1.85871,0.0666764,2.08821
0.019,0.400011,-0.199976,0.300036,0.0640046,-0.0911376,0.15353,0.981848,0.0998527,-0.19995,0.300201,0.00175342,0.00379258,0.00568319,-0.023741,0.000851644,0.0266722,0.179578,0.392538,0.583829,-2.41732,0.0867151,2.71579
0.02375,0.400022,-0.199953,0.300071,0.0639425,-0.0911191,0.153615,0.981841,0.0997158,-0.199903,0.300388,0.00270278,0.00587642,0.00877341,-0.0364912,0.00130902,0.0409967,0.21985,0.484463,0.716443,-2.94629,0.10569,3.31007
0.0285,0.400037,-0.199919,0.300121,0.0638514,-0.0910919,0.153739,0.98183,0.0995148,-0.199834,0.300662,0.00383914,0.00839111,0.0124811,-0.0516846,0.00185405,0.058066,0.258319,0.573946,0.843847,-3.44611,0.12362,3.8716
0.03325,0.400059,-0.199873,0.30019,0.0637263,-0.0910546,0.15391,0.981815,0.0992391,-0.199739,0.301038,0.005154,0.0113251,0.0167818,-0.0691839,0.00248179,0.077726,0.295009,0.661008,0.966104,-3.9173,0.140523,4.40096
0.038,0.400086,-0.199811,0.300281,0.0635627,-0.0910058,0.154133,0.981795,0.0988783,-0.199615,0.30153,0.00663894,0.0146669,0.0216511,-0.0888543,0.00318741,0.0998251,0.329942,0.745671,1.08328,-4.36034,0.156416,4.8987
0.04275,0.400122,-0.199733,0.300397,0.063356,-0.0909442,0.154415,0.981769,0.0984228,-0.199459,0.302152,0.0082857,0.0184052,0.027065,-0.110563,0.00396617,0.124214,0.363142,0.827956,1.19543,-4.77574,0.171317,5.36539
0.0475,0.400165,-0.199636,0.300539,0.0631023,-0.0908684,0.154761,0.981738,0.0978638,-0.199266,0.302915,0.0100861,0.0225287,0.0329999,-0.134181,0.00481338,0.150748,0.394633,0.907883,1.30263,-5.164,0.185245,5.80159
0.05225,0.400218,-0.199518,0.300711,0.0627977,-0.0907775,0.155176,0.981701,0.0971928,-0.199034,0.303831,0.012032,0.0270264,0.0394323,-0.159579,0.00572448,0.179282,0.424437,0.985475,1.40494,-5.52562,0.198217,6.20786
0.057,0.40028,-0.199378,0.300914,0.0624386,-0.0906703,0.155665,0.981656,0.0964022,-0.198759,0.30491,0.0141156,0.0318871,0.0463392,-0.186633,0.00669496,0.209676,0.452577,1.06075,1.50242,-5.86111,0.210252,6.58477
0.06175,0.400352,-0.199215,0.301152,0.0620216,-0.0905458,0.156233,0.981604,0.0954848,-0.19844,0.306163,0.0163289,0.0370999,0.0536977,-0.215219,0.00772042,0.241792,0.479077,1.13373,1.59513,-6.17096,0.221367,6.93288
0.0665,0.400435,-0.199025,0.301425,0.0615438,-0.0904031,0.156884,0.981543,0.0944341,-0.198072,0.307597,0.0186643,0.042654,0.0614855,-0.245217,0.00879652,0.275494,0.503961,1.20444,1.68314,-6.45568,0.23158,7.25275
0.07125,0.40053,-0.198809,0.301737,0.0610023,-0.0902412,0.157622,0.981474,0.0932442,-0.197654,0.309223,0.021114,0.0485385,0.0696802,-0.276509,0.00991903,0.310649,0.52725,1.2729,1.76652,-6.71576,0.24091,7.54495
0.076,0.400636,-0.198564,0.302088,0.0603945,-0.0900595,0.158449,0.981395,0.0919098,-0.197182,0.311046,0.0236707,0.054743,0.0782601,-0.308979,0.0110838,0.347128,0.548969,1.33913,1.84532,-6.95171,0.249374,7.81003
