t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,qddot0,qddot1,qddot2,qddot3,qddot4,qddot5,jerk0,jerk1,jerk2,jerk3,jerk4,jerk5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5259,-48.9006,78.8024,55.375,44.0461,-86.2732
0.00475,6.3074e-07,-8.65306e-07,1.39358e-06,9.7865e-07,7.79537e-07,-1.52548e-06,0.000397559,-0.000544796,0.000877215,0.000615899,0.000490825,-0.000960203,0.166717,-0.227947,0.366883,0.257479,0.205389,-0.401554,34.6718,-47.0806,75.6812,53.0424,42.4366,-82.8093
0.0095,5.01544e-06,-6.8575e-06,1.10372e-05,7.74598e-06,6.17887e-06,-1.20803e-05,0.00157741,-0.00215189,0.00346206,0.00242862,0.00193916,-0.00378887,0.329393,-0.4473,0.719034,0.503951,0.403178,-0.786758,33.8246,-45.2822,72.5994,50.7402,40.8464,-79.3892
0.01425,1.68245e-05,-2.29259e-05,3.68768e-05,2.58633e-05,2.06608e-05,-4.0356e-05,0.00352045,-0.0047807,0.00768501,0.00538623,0.00430913,-0.00840885,0.488061,-0.658162,1.05664,0.73956,0.59346,-1.15582,32.9842,-43.5054,69.5572,48.4686,39.2756,-76.0129
0.019,3.9638e-05,-5.38284e-05,8.65297e-05,6.06467e-05,4.85187e-05,-9.46799e-05,0.0062077,-0.00839114,0.0134774,0.00943747,0.00756529,-0.0147439,0.642754,-0.860635,1.37989,0.964451,0.776327,-1.50895,32.1505,-41.7502,66.5544,46.2274,37.7241,-72.6803
0.02375,7.69463e-05,-0.000104133,0.00016729,0.000117171,9.38788e-05,-0.00018302,0.00962036,-0.0129436,0.0207715,0.0145318,0.0116726,-0.022719,0.793502,-1.05482,1.68897,1.17877,0.95187,-1.84635,31.3237,-40.0167,63.5911,44.0168,36.1919,-69.3915
0.0285,0.000132151,-0.000178222,0.000286131,0.000200271,0.000160702,-0.000312989,0.0137398,-0.018399,0.0295005,0.0206193,0.0165966,-0.0322597,0.94034,-1.24083,1.98407,1.38266,1.12018,-2.16824,30.5038,-38.3047,60.6673,41.8366,34.679,-66.1465
0.03325,0.000208564,-0.000280292,0.000449712,0.000314548,0.000252785,-0.00049185,0.0185475,-0.0247187,0.0395983,0.0276507,0.0223031,-0.043293,1.0833,-1.41875,2.26537,1.57626,1.28135,-2.47481,29.6906,-36.6144,57.783,39.6869,33.1855,-62.9452
0.038,0.000309412,-0.000414358,0.000664379,0.000464371,0.000373766,-0.000726521,0.024025,-0.0318645,0.051,0.0355777,0.0287583,-0.0557465,1.22241,-1.5887,2.53307,1.75973,1.43547,-2.76629,28.8843,-34.9457,54.9381,37.5677,31.7113,-59.7877
0.04275,0.000437834,-0.000584254,0.000936174,0.000653879,0.000527122,-0.00102358,0.0301543,-0.0397989,0.0636412,0.0443524,0.035929,-0.0695491,1.35771,-1.75077,2.78735,1.93321,1.58264,-3.04287,28.0848,-33.2986,52.1327,35.479,30.2564,-56.6739
0.0475,0.000596881,-0.000793637,0.00127083,0.000886986,0.000716173,-0.00138926,0.0369173,-0.0484845,0.0774588,0.0539276,0.0437825,-0.0846305,1.48923,-1.90507,3.02839,2.09683,1.72294,-3.30476,27.2921,-31.6732,49.3668,33.4208,28.8208,-53.6039
0.05225,0.000789523,-0.00104599,0.0016738,0.00116738,0.000944085,-0.00182948,0.0442961,-0.0578849,0.0923903,0.0642569,0.0522862,-0.100921,1.617,-2.0517,3.25639,2.25075,1.85647,-3.55217,26.5062,-30.0694,46.6404,31.3931,27.4046,-50.5777
0.057,0.00101864,-0.00134462,0.00215021,0.00149855,0.00121387,-0.00234982,0.0522729,-0.0679637,0.108374,0.0752946,0.0614083,-0.118354,1.74105,-2.19076,3.47154,2.39511,1.98331,-3.78532,25.7272,-28.4872,43.9535,29.3958,26.0077,-47.5952
0.06175,0.00128703,-0.00169266,0.00270492,0.00188373,0.00152839,-0.00295554,0.0608302,-0.0786853,0.12535,0.0869956,0.0711173,-0.13686,1.86141,-2.32236,3.67401,2.53006,2.10357,-4.0044,24.9549,-26.9266,41.306,27.4291,24.6301,-44.6565
0.0665,0.00159742,-0.00209309,0.00334251,0.00232599,0.00189037,-0.00365159,0.0699505,-0.0900145,0.143258,0.0993155,0.081382,-0.156373,1.97813,-2.4466,3.86401,2.65574,2.21733,-4.20962,24.1895,-25.3876,38.6981,25.4928,23.2719,-41.7616
0.07125,0.00195243,-0.00254871,0.00406725,0.00282814,0.00230235,-0.00444258,0.0796167,-0.101917,0.162038,0.112211,0.0921718,-0.176829,2.09123,-2.56358,4.04171,2.77229,2.32468,-4.4012,23.4309,-23.8703,36.1296,23.5871,21.9329,-38.9104
0.076,0.00235461,-0.00306215,0.00488316,0.00339283,0.00276678,-0.00533286,0.0898115,-0.114357,0.181635,0.125638,0.103456,-0.198164,2.20073,-2.6734,4.2073,2.87986,2.42572,-4.57934,22.6792,-22.3745,33.6006,21.7118,20.6134,-36.103
0.08075,0.00280645,-0.0036359,0.00579398,0.00402248,0.00328593,-0.00632643,0.100518,-0.127303,0.201989,0.139555,0.115206,-0.220312,2.30669,-2.77617,4.36098,2.9786,2.52054,-4.74425,21.9342,-20.9004,31.111,19.867,19.3131,-33.3394
0.0855,0.00331032,-0.00427227,0.00680317,0.00471932,0.00386193,-0.00742701,0.111719,-0.14072,0.223045,0.153921,0.127392,-0.243213,2.40912,-2.87199,4.50292,3.06865,2.60923,-4.89613,21.1961,-19.448,28.661,18.0527,18.0321,-30.6195
